function_name,attack_type
init,0
log_idx,0
log_ptr,0
log_stack,0
log_slot,0
helper_function,0
print_array_addr_4,2
user_given_array_4,1
array_min,0
user_set_array_12,3
print_array_addr_15,2
print_array_addr_10,2
get_cb_from_c_18,0
compute_fibonacci,0
user_set_array_9,3
get_cb_from_c_5,5
print_array_addr_2,2
subtract_numbers,0
user_given_array_11,3
user_given_array_8,1
get_cb_from_c_20,5
print_array_addr_9,2
user_given_array_12,1
count_occurrences,0
user_set_array_8,3
find_max,0
print_array_addr_5,2
user_given_vec_2,4
user_given_array_6,1
user_given_array_17,1
print_array_addr_17,2
get_cb_from_c_16,5
user_given_array_16,1
multiply_numbers,0
user_set_array_18,3
user_set_array_3,3
user_set_array_6,3
user_set_array_5,3
get_cb_from_c_10,5
get_cb_from_c_14,5
user_set_array_13,3
check_even,0
add_numbers,0
user_given_array_18,1
print_array_addr_14,2
user_given_array_20,1
print_array_addr_16,2
user_given_array_14,1
user_given_array_7,1
user_given_array_9,1
user_given_array_5,1
divide_numbers,0
user_given_array_15,1
user_set_array_20,3
reverse_array,0
user_given_vec_9,4
compute_gcd,0
user_given_array_19,1
compute_power,0
user_given_vec_14,4
user_set_array_15,3
user_given_vec_4,4
user_given_vec_10,4
sum_digits,0
print_array_addr_3,2
user_given_vec_20,4
compute_factorial,0
print_array_addr_19,2
user_given_array_3,1
get_cb_from_c_8,5
user_given_array_1,1
user_given_vec_8,4
get_cb_from_c_12,5
check_odd,0
absolute_value,0
user_set_array_2,3
print_array_addr_7,2
user_given_vec_18,4
get_cb_from_c_19,5
get_cb_from_c_3,5
user_given_array_10,1
user_given_vec_19,4
check_prime,0
user_set_array_11,3
print_array_addr_6,2
user_set_array_1,3
get_cb_from_c_1,5
user_set_array_19,3
get_cb_from_c_17,5
user_set_array_17,3
user_given_array_13,1
user_given_vec_12,4
user_given_vec_6,4
print_array_addr_13,2
user_set_array_10,3
compute_lcm,0
user_set_array_16,3
get_cb_from_c_13,5
get_cb_from_c_15,5
user_given_vec_3,4
user_given_vec_1,4
print_array_addr_20,2
user_given_vec_15,4
print_array_addr_1,2
array_average,0
user_set_array_4,3
get_cb_from_c_7,5
print_array_addr_8,2
user_given_vec_7,4
user_set_array_14,3
get_cb_from_c_9,5
user_given_vec_16,4
get_cb_from_c_2,5
user_given_vec_11,4
check_sorted,0
array_max,0
user_given_vec_5,4
get_cb_from_c_6,5
get_cb_from_c_4,5
print_array_addr_11,2
user_set_array_7,3
user_given_vec_13,4
find_min,0
count_digits,0
user_given_array_2,1
get_cb_from_c_11,5
product_digits,0
print_array_addr_18,2
print_array_addr_12,2
user_given_vec_17,4
array_sum,0
