function_name,attack_type
get_attack,0
check_even,0
divide_numbers,0
count_digits,0
compute_power,0
find_min,0
product_digits,0
multiply_numbers,0
reverse_vec,0
find_max,0
compute_lcm,0
sum_digits,0
check_sorted,0
check_prime,0
compute_factorial,0
add_numbers,0
vec_min,0
absolute_value,0
compute_fibonacci,0
vec_sum,0
vec_max,0
subtract_numbers,0
check_odd,0
compute_gcd,1
doubler,0
incrementer,0
attack,0
make_data,0
run_bounds_variant,1
run_bounds_family,0
run_lifetime_variant,2
run_lifetime_family,2
run_hardening_variant,3
run_hardening_family,3
run_dynamic_variant,4
run_dynamic_family,4
run_intended_variant,5
run_intended_family,5
main,0
